SeraphimDroid Record,Starting date and time:,2019-08-12-15-46-07,Read interval (ms):,1000,MemTotal (kB),3749908
Total CPU usage (%),SeraphimDroid (Pid 18072) CPU usage (%),SeraphimDroid Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB), dis_auto, dis_RNN

0,0,164784,,2969488,780420,88072,692184,221184,0.0,0.0

0,0,164784,,2976036,773872,72376,701496,221184,7.563105,0.0

0,0,164784,,3018484,731424,69848,661844,221184,0.21035975,0.0

0,0,164784,,3068212,681696,73104,608188,221184,9.747513,0.0

0,0,164784,,3085960,663948,69900,593792,221184,10.555701,0.0

0,0,164784,,3123372,626536,73360,553796,221184,7.3743854,0.0

0,0,164784,,3209252,540656,73860,466796,221184,8.163063,0.0

0,0,164784,,3197564,552344,95444,457952,221184,11.743531,0.0

0,0,164784,,3095056,654852,110248,543856,221184,7.684558,0.0

0,0,164784,,3098712,651196,100004,551192,221184,0.78107333,0.0

0,0,164784,,3093380,656528,95664,560864,221184,0.63547105,0.0

0,0,164784,,3083384,666524,73368,593156,221184,0.39371684,0.0

0,0,164784,,3076520,673388,72632,601004,221184,0.38870707,0.0

0,0,164784,,3073416,676492,77644,598708,221184,0.4288991,0.0

0,0,164784,,3068068,681840,78004,603836,221184,0.1406272,0.0

0,0,164784,,3068612,681296,76676,604620,221184,0.15370834,0.0

0,0,164784,,3074024,675884,74100,601784,221184,0.19322987,0.0

0,0,164784,,3072484,677424,79008,598416,221184,0.31050512,0.0

0,0,164784,,3073436,676472,75568,600904,221184,0.100420766,0.0

0,0,164784,,3073724,676184,74928,601256,221184,0.21338437,0.0

0,0,164784,,3076200,673708,77176,596532,221184,0.24564035,0.0

0,0,164784,,3099072,650836,73288,577796,221184,0.115284264,0.0

0,0,164784,,3097488,652420,72540,580004,221184,0.58505744,0.40704572

0,0,164784,,3045440,704468,128288,576180,221184,0.5809447,0.4939471

0,0,164784,,3075744,674164,86940,587224,221184,1.203154,15.782544

0,0,164784,,3062440,687468,79372,608096,221184,0.08158078,1.5571438

0,0,164784,,3057476,692432,73412,619020,221184,0.12428102,2.2434614

0,0,164784,,3057892,692016,73876,618132,221184,0.52230126,2.9368587

0,0,164784,,3061068,688840,76456,612412,221184,0.44865268,2.8242035

0,0,164784,,3064020,685888,83076,602936,221184,0.20204435,2.34886

0,0,164784,,3065592,684316,80708,603604,221184,0.16641782,2.0947497

0,0,164784,,3066312,683596,79868,603852,221184,0.14617935,1.8748506

0,0,164784,,3067816,682092,75112,606980,221184,0.13630661,1.801305

0,0,164784,,3068484,681424,77344,604104,221184,0.27765596,1.7749645

0,0,164784,,3082276,667632,79436,588444,221184,0.17485107,1.6272067

0,0,164784,,3093084,656824,76280,580544,221184,0.12691253,0.70753604

0,0,164784,,3099492,650416,83524,567128,221184,0.4542884,0.31998527

0,0,164784,,3125220,624688,74892,549796,221184,0.8614799,0.49206394

0,0,164784,,3105324,644584,95220,549612,221184,2.8343801,0.8095556

0,0,164784,,3112532,637376,86724,550652,221184,1.7128985,2.579016

0,0,164784,,3107228,642680,91868,550812,221184,1.8376021,0.9492798

0,0,164784,,3106824,643084,88392,554692,221184,1.5761262,1.7030519

0,0,164784,,3108708,641200,82864,558084,221184,1.3017262,1.0178407

0,0,164784,,3110844,639064,80500,558588,221184,1.1388878,0.38045603

0,0,164784,,3110508,639400,80688,558712,221184,1.1436212,0.26134813

0,0,164784,,3110540,639368,80616,558752,221184,1.0867866,0.26037157

0,0,164784,,3111468,638440,79696,558760,221184,1.0499253,0.25363177

0,0,164784,,3089948,659960,90148,570064,221184,1.0555992,0.22650984

0,0,164784,,3090392,659516,87824,571692,221184,0.28782126,1.7386583

0,0,164784,,3091228,658680,86940,571740,221184,0.2279341,1.3215708

0,0,164784,,3089900,660008,88200,571804,221184,0.2182893,1.1561347

0,0,164784,,3091288,658620,86528,572092,221184,0.21626292,1.3888788

0,0,164784,,3086724,663184,72680,589388,221184,0.19885397,1.0911064

0,0,164784,,3062280,687628,72576,615284,221184,0.7544991,1.4631478

0,0,164784,,3056180,693728,74996,618732,221184,1.2981713,4.401166

0,0,164784,,3083704,666204,72852,592648,221184,1.3442984,5.015562

0,0,164784,,3092000,657908,91216,566868,221184,0.6908839,1.5995713

0,0,164784,,3086320,663588,94376,569212,221184,0.4295512,1.908248

0,0,164784,,3090312,659596,82284,577312,221184,0.32243925,2.8971925

0,0,164784,,3093336,656572,75884,580936,221184,0.14199483,0.77113676

0,0,164784,,3094796,655112,73852,581244,221184,0.39948905,0.70235765

0,0,164784,,3093288,656620,78316,578304,221184,0.6425812,0.8035754

0,0,164784,,3093704,656204,77868,578336,221184,0.22143029,0.5861425

0,0,164784,,3094552,655356,76992,578364,221184,0.24811022,0.58154094

0,0,164784,,3094800,655108,76040,579068,221184,0.31508934,0.5771915

0,0,164784,,3090544,659364,78668,580696,221184,0.38859272,0.62303746

0,0,164784,,3091248,658660,77928,580732,221184,0.14677213,0.7665702

0,0,164784,,3091760,658148,75784,582364,221184,0.18815622,0.7431234

0,0,164784,,3092684,657224,74940,582408,221184,0.35504925,0.8302004

0,0,164784,,3092784,657124,77152,579972,221184,0.4486492,0.845957

0,0,164784,,3093568,656340,75768,580572,221184,0.24528918,0.6843377

0,0,164784,,3094080,655828,75256,580572,221184,0.3661389,0.72172606

0,0,164784,,3095120,654788,74204,580584,221184,0.42052117,0.732864

0,0,164784,,3093696,656212,76632,579704,221184,0.5538225,0.7716265

0,0,164784,,3093756,656152,75976,580176,221184,0.27675974,0.6687831

0,0,164784,,3095688,654220,74172,580172,221184,0.32836336,0.70412683

0,0,164784,,3095772,654136,77340,576920,221184,0.55208004,0.74845237

0,0,164784,,3097132,652776,75716,576936,221184,0.268023,0.5265721

0,0,164784,,3097548,652360,74972,577392,221184,0.41838634,0.53484607

0,0,164784,,3064940,684968,105880,579088,221184,0.49376392,0.5758427

0,0,164784,,3066404,683504,103112,580640,221184,0.65403414,11.302771

0,0,164784,,3066452,683456,97448,586008,221184,0.51854295,9.160695

