SeraphimDroid Record,Starting date and time:,2019-07-22-10-31-24,Read interval (ms):,1000,MemTotal (kB),1550548
Total CPU usage (%),SeraphimDroid (Pid 13581) CPU usage (%),SeraphimDroid Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB)
6.7708335,2.8645833,37568,,760116,790432,303028,487404,147456
9.308511,1.8617021,37568,,757208,793340,303220,490120,147456
13.243243,0.8108108,37568,,757528,793020,302976,490044,147456
49.21466,0.0,37568,,772872,777676,288484,489192,147456
43.80165,0.2754821,37568,,777584,772964,283712,489252,147456
39.528797,0.0,37568,,767504,783044,297052,485992,147456
25.418995,0.2793296,37568,,767096,783452,297252,486200,147456
19.54023,0.0,37568,,767204,783344,297404,485940,147456
35.714287,0.5494506,37568,,756088,794460,306324,488136,147456
40.920715,0.0,37568,,756132,794416,285212,509412,147456
1.8617021,0.26595744,37568,,756048,794500,286488,508012,147456
32.782368,0.2754821,37568,,761868,788680,281224,507580,147456
42.076504,0.0,37568,,770884,779664,295748,483916,147456
31.97832,0.2710027,37568,,770108,780440,302800,477640,147456
28.301888,0.0,37568,,768880,781668,303736,477932,147456
26.358696,0.27173913,37568,,771892,778656,299540,479116,147456
21.97183,0.28169015,37568,,772936,777612,298440,479172,147456
21.568628,0.28011206,37568,,771444,779104,301588,477516,147456
19.886364,0.2840909,37568,,771940,778608,301116,477492,147456
17.378918,0.0,37568,,771720,778828,301364,477464,147456
20.285715,0.5714286,37568,,771672,778876,301412,477464,147456
22.59887,0.0,37568,,770436,780112,302648,477464,147456
21.38889,0.0,37568,,769544,781004,303636,477468,147456
28.225807,0.26881722,37568,,769436,781112,303636,477476,147456
27.365728,0.25575447,37568,,770040,780508,302668,477840,147456
20.05571,0.55710304,37568,,770064,780484,302644,477840,147456
26.373627,0.0,37568,,774356,776192,297392,478800,147456
16.332378,0.0,37568,,774296,776252,297212,479040,147456
20.84507,0.0,37568,,774048,776500,297460,479040,147456
24.089636,0.5602241,37568,,773980,776568,297536,479032,147456
19.142857,0.0,37568,,774048,776500,297460,479040,147456
20.505617,0.28089887,37568,,774352,776196,297164,479032,147456
23.577236,0.2710027,37568,,774436,776112,299420,476692,147456
22.432432,0.0,37568,,774356,776192,299520,476672,147456
19.220057,0.27855152,37568,,774404,776144,299444,476700,147456
24.390244,0.0,37568,,775912,774636,297460,477176,147456
24.86631,0.26737967,37568,,776036,774512,297336,477176,147456
26.11111,0.2777778,37568,,776408,774140,298800,475340,147456
24.33155,0.0,37568,,777384,773164,297388,475776,147456
23.287672,0.2739726,37568,,778200,772348,298816,473532,147456
25.46917,0.0,37568,,778496,772052,297832,474220,147456
28.726288,0.2710027,37568,,783424,767124,291108,476016,147456
26.612904,0.26881722,37568,,783684,766864,292988,473976,147456
24.128687,0.0,37568,,783440,767108,293112,473996,147456
25.198938,0.530504,37568,,783464,767084,293088,473996,147456
23.513514,0.0,37568,,783664,766884,292888,473996,147456
22.764227,0.0,37568,,783788,766760,292764,473996,147456
20.505617,0.56179774,37568,,784236,766312,294360,471952,147456
23.387096,0.0,37568,,784212,766336,294384,471952,147456
23.433243,0.0,37568,,784328,766220,294392,471952,147456
24.7191,0.28089887,37568,,786192,764356,294092,470264,147456
20.84507,0.0,37568,,786460,764088,293872,470216,147456
23.592493,0.536193,37568,,786344,764204,293988,470216,147456
25.40107,0.0,37568,,786244,764304,294088,470216,147456
23.513514,0.27027026,37568,,786344,764204,293988,470216,147456
18.75,0.5681818,37568,,786112,764436,294220,470216,147456
20.33426,0.0,37568,,785212,765336,295120,470216,147456
20.891365,0.55710304,37568,,785244,765304,295088,470216,147456
25.555555,0.0,37568,,789252,761296,289968,471328,147456
26.628895,0.0,37568,,789076,761472,290020,471452,147456
20.72829,0.0,37568,,789572,760976,289524,471452,147456
22.37569,0.2762431,37568,,789596,760952,289500,471452,147456
21.568628,0.28011206,37568,,789888,760660,290484,470176,147456
35.47486,0.0,37568,,793012,757536,281432,476104,147456
66.29834,0.2762431,37568,,823552,726996,282356,444764,147456
61.126762,0.0,37568,,835544,715004,285600,429528,147456
44.352615,0.2754821,37568,,850372,700176,284336,415840,147456
52.706554,0.0,37568,,869696,680852,285872,394984,147456
45.454544,0.26737967,37568,,883356,667192,287072,379972,147456
57.102272,0.0,37568,,893628,656920,286376,370568,147456
40.532543,0.295858,37568,,889872,660676,294664,366012,147456
26.210827,0.28490028,37568,,885020,665528,288092,377436,147456
27.019499,0.0,37568,,884704,665844,288708,377136,147456
25.409836,0.27322406,37568,,872536,678012,299596,378416,147456
24.403183,0.265252,37568,,870244,680304,301060,379244,147456
29.62963,0.0,37568,,874148,676400,287972,388428,147456
20.056498,0.56497175,37568,,874416,676132,287812,388320,147456
31.165312,0.0,37568,,882332,668216,286488,381728,147456
26.43678,0.0,37568,,881512,669036,286876,382160,147456
25.479452,0.2739726,37568,,883916,666632,287684,378948,147456
21.246458,0.0,37568,,874856,675692,293240,382376,147456
21.022728,0.2840909,37568,,873940,676608,289004,387604,147456
26.684637,0.26954177,37568,,875944,674604,287116,387488,147456
33.78016,0.2680965,37568,,876180,674368,287516,386852,147456
27.937336,0.2610966,37568,,876304,674244,287392,386852,147456
27.948717,0.0,37568,,875848,674700,287848,386852,147456
16.569767,0.29069766,37568,,875848,674700,287152,387548,147456
23.577236,0.8130081,37568,,875392,675156,287624,387532,147456
18.181818,0.0,37568,,875400,675148,287600,387548,147456
22.253521,0.28169015,37568,,875328,675220,287524,387696,147456
21.643835,0.0,37568,,876128,674420,288252,386168,147456
23.076923,0.2747253,37568,,876148,674400,288152,386248,147456
24.193548,0.53763443,37568,,875320,675228,288988,386240,147456
20.891365,0.0,37568,,870824,679724,292948,386776,147456
24.797844,0.0,37568,,872384,678164,290596,387568,147456
27.837837,0.0,37568,,875884,674664,285120,389668,147456
37.5,0.26595744,37568,,851460,699088,307292,391796,147456
28.385416,0.26041666,37568,,851464,699084,307124,391960,147456
24.33155,0.0,37568,,851388,699160,305728,393432,147456
22.54642,0.265252,37568,,851376,699172,305644,393528,147456
24.266666,0.0,37568,,851980,698568,305040,393528,147456
25.848564,0.5221932,37568,,852236,698312,304768,393544,147456
23.160763,0.0,37568,,852364,698184,304612,393572,147456
25.581396,0.0,37568,,852588,697960,304388,393572,147456
24.473684,0.2631579,37568,,852712,697836,304264,393572,147456
22.04301,0.0,37568,,852836,697712,304140,393572,147456
26.190475,0.26455027,37568,,853356,697192,303620,393572,147456
24.736841,0.2631579,37568,,853596,696952,303380,393572,147456
26.233767,0.0,37568,,853820,696728,303156,393572,147456
28.311687,0.5194805,37568,,854064,696484,302468,394016,147456
21.369864,0.0,37568,,853968,696580,302536,394044,147456
22.520107,0.0,37568,,854208,696340,302296,394044,147456
24.462366,0.26881722,37568,,854824,695724,301684,394040,147456
25.40107,0.26737967,37568,,855152,695396,301204,394192,147456
28.494623,0.26881722,37568,,857280,693268,297548,395720,147456
24.137932,0.0,37568,,857200,693348,297360,395988,147456
24.210526,0.2631579,37568,,857820,692728,296740,395988,147456
23.592493,0.0,37568,,858440,692108,297832,394276,147456
25.13369,0.53475934,37568,,858540,692008,297732,394276,147456
23.450134,0.0,37568,,858088,692460,298204,394256,147456
25.329815,0.0,37568,,858076,692472,298104,394368,147456
26.233767,0.77922076,37568,,857828,692720,298352,394368,147456
21.428572,0.0,37568,,858396,692152,297784,394368,147456
22.160666,0.27700832,37568,,857548,693000,298244,394756,147456
21.195652,0.0,37568,,857496,693052,298244,394808,147456
21.467392,0.27173913,37568,,857612,692936,298136,394800,147456
24.409449,0.2624672,37568,,856844,693704,298896,394808,147456
25.593668,0.0,37568,,857596,692952,298144,394808,147456
25.39267,0.2617801,37568,,857720,692828,298020,394808,147456
22.933332,0.0,37568,,857644,692904,298096,394808,147456
24.934383,0.2624672,37568,,857648,692900,298092,394808,147456
25.916231,0.2617801,37568,,857960,692588,297796,394792,147456
24.867725,0.0,37568,,859320,691228,296952,394276,147456
25.587467,0.2610966,37568,,859292,691256,296968,394288,147456
26.97201,0.0,37568,,859292,691256,296968,394288,147456
25.773195,0.25773194,37568,,859216,691332,297044,394288,147456
23.529411,0.0,37568,,859292,691256,296968,394288,147456
24.25068,0.27247956,37568,,859612,690936,296648,394288,147456
23.783783,0.0,37568,,860564,689984,294240,395744,147456
21.563343,0.26954177,37568,,860368,690180,294240,395940,147456
22.432432,0.5405405,37568,,860616,689932,293992,395940,147456
23.88889,0.0,37568,,860264,690284,294344,395940,147456
35.969387,0.0,37568,,863564,686984,290972,396012,147456
26.121372,0.7915567,37568,,863628,686920,290876,396044,147456
22.404371,0.0,37568,,863852,686696,290652,396044,147456
24.867725,0.0,37568,,863852,686696,290652,396044,147456
25.464191,0.0,37568,,864100,686448,290404,396044,147456
22.343325,0.0,37568,,864916,685632,292960,392672,147456
24.193548,0.26881722,37568,,865676,684872,292140,392732,147456
24.543081,0.2610966,37568,,865800,684748,292016,392732,147456
27.202072,0.0,37568,,865800,684748,292016,392732,147456
24.93225,0.2710027,37568,,865948,684600,291868,392732,147456
24.668434,0.265252,37568,,866424,684124,291416,392708,147456
21.369864,0.0,37568,,866896,683652,290920,392732,147456
25.526316,0.5263158,37568,,866800,683748,291016,392732,147456
23.913044,0.27173913,37568,,866512,684036,291304,392732,147456
29.333334,0.26666668,37568,,866336,684212,291480,392732,147456
23.783783,0.27027026,37568,,866388,684160,291428,392732,147456
23.92473,0.0,37568,,866536,684012,291280,392732,147456
24.736841,0.0,37568,,867132,683416,290684,392732,147456
21.09589,0.2739726,37568,,866660,683888,291156,392732,147456
21.832884,0.53908354,37568,,865960,684588,291856,392732,147456
24.8,0.0,37568,,867260,683288,290260,393028,147456
23.076923,0.0,37568,,867720,682828,289576,393252,147456
25.789474,0.5263158,37568,,867844,682704,289452,393252,147456
22.580645,0.0,37568,,868016,682532,289280,393252,147456
24.06417,0.0,37568,,867968,682580,289328,393252,147456
24.338625,0.26455027,37568,,868744,681804,290496,391408,147456
21.857924,0.0,37568,,868488,682060,290668,391392,147456
23.433243,0.27247956,37568,,868820,681728,290320,391408,147456
22.404371,0.27322406,37568,,868792,681756,290196,391560,147456
24.33155,0.0,37568,,868792,681756,290196,391560,147456
